CP5_alpha_power,CP5_delta_power,CP5_spectral_edge,CP5_spectral_entropy,CP6_alpha_power,CP6_delta_power,CP6_spectral_edge,CP6_spectral_entropy,F7_alpha_power,F7_delta_power,F7_spectral_edge,F7_spectral_entropy,F8_alpha_power,F8_delta_power,F8_spectral_edge,F8_spectral_entropy,FC5_alpha_power,FC5_delta_power,FC5_spectral_edge,FC5_spectral_entropy,FC6_alpha_power,FC6_delta_power,FC6_spectral_edge,FC6_spectral_entropy,P7_alpha_power,P7_delta_power,P7_spectral_edge,P7_spectral_entropy,P8_alpha_power,P8_delta_power,P8_spectral_edge,P8_spectral_entropy,T7_alpha_power,T7_delta_power,T7_spectral_edge,T7_spectral_entropy,T8_alpha_power,T8_delta_power,T8_spectral_edge,T8_spectral_entropy,label
1.6477918945859195e-11,1.274675267292353e-11,1.3041342581065539e-11,1.1658571067155458e-11,4.708998014856134e-12,3.949356798271199e-12,1.778067713876457e-11,1.9503759861914985e-11,1.3033310236242179e-11,1.1532793014863335e-11,2.9343660244305744e-11,2.347073413393871e-11,6.100111941806958e-11,4.825740809724782e-11,2.3518188201029253e-11,1.8000807087539005e-11,3.0397654478267464e-11,2.961576544528732e-11,3.8591127391606596e-11,3.374584827033169e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.670241243184293e-09,3.774610691845098e-09,7.759756415188536e-09,6.322199973126073e-09,3.131351965179771e-09,2.4281882433808994e-09,4.888442825979225e-09,5.078539392441006e-09,5.445515254199369e-09,4.688140517751333e-09,1.0
1.6552694323439486e-11,1.2963079252256445e-11,1.4860936276404397e-11,1.2879566987616158e-11,5.079770378538563e-12,4.031359669819043e-12,1.78544579668789e-11,1.9649631301421424e-11,1.4551402031685322e-11,1.194223170088088e-11,3.255281672204437e-11,2.4412428422920873e-11,4.9111409749021995e-11,5.2308505972390516e-11,1.973099008079138e-11,1.7755593593484713e-11,3.368503666009992e-11,3.167313702680815e-11,3.786662446303745e-11,3.471981140818349e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9233008294588815e-09,3.828808964879876e-09,6.92246879835464e-09,6.813671629110168e-09,2.8306099129022685e-09,2.3959087373341148e-09,5.158890136492446e-09,5.227222644968606e-09,5.485519286387588e-09,4.7974041964202135e-09,1.0
1.5440781567467315e-11,1.264792077782989e-11,1.3304210044042701e-11,1.1292488568293368e-11,4.763072162274799e-12,3.7907681223048135e-12,1.6622503260536567e-11,1.9235345177485973e-11,1.4384721245519786e-11,1.236818296717587e-11,3.8591597457166824e-11,2.7357404419428754e-11,6.809895341599328e-11,5.6185012522495e-11,2.4189999683696877e-11,1.8374604837138945e-11,4.0242209031151095e-11,3.672059672036264e-11,4.276156295905069e-11,3.640243650552823e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.44675041729057e-09,4.0141242542567255e-09,8.047109355239587e-09,6.854266598954633e-09,3.0713311467264103e-09,2.3687484177202626e-09,5.720256026476076e-09,5.535136835449012e-09,5.90689680932268e-09,4.885951694264421e-09,1.0
1.6052767054229528e-11,4.671959122253023e-11,1.332574659675857e-11,1.0744960974597908e-11,4.618968078033861e-12,3.3655016669013346e-12,1.7308420198165716e-11,7.259697762556073e-11,1.2437356540544061e-11,1.0791772759519432e-11,4.317407265631772e-11,1.1311875068395707e-09,1.07254990283866e-10,9.098058284875603e-11,4.033204441836679e-11,2.459087434613678e-11,4.5320476357909324e-11,1.7052939345564726e-09,4.242317501268869e-11,3.414608127190951e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.989609064422289e-09,9.531490737246063e-08,1.1623668506079024e-08,1.0149054244585266e-08,4.526689990598978e-09,3.006346875569574e-09,6.319300760989498e-09,1.4166317570478635e-07,5.6693018160159765e-09,4.826835537798711e-09,1.0
1.8266231047725094e-11,6.672834925198014e-11,1.7300614172265067e-11,1.338056082833011e-11,5.945574421593497e-12,3.855426378433432e-12,1.9601828949709763e-11,1.0383115642729285e-10,1.483209798195152e-11,1.1710165183585613e-11,4.371972141166536e-11,1.7136918860595875e-09,1.339696491846035e-10,1.0495344614301359e-10,5.1730048289225434e-11,2.7153990794392185e-11,4.572848641340924e-11,2.605030951056667e-09,4.5814946801391234e-11,3.1912197846170164e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.060829962218516e-09,1.2092851234086285e-07,1.3584162540530998e-08,1.0939441199892254e-08,5.491860846835382e-09,3.1592172930084847e-09,6.3729346045181234e-09,1.805774228532766e-07,6.26054880268489e-09,4.747072799465469e-09,1.0
1.8031014642150864e-11,1.2567110607508962e-11,1.5116236551925834e-11,7.179716947869711e-11,5.620042071512921e-12,3.7425678498256715e-12,1.929158111947811e-11,1.9145712911200433e-11,1.7336127259899265e-11,1.2932535504191997e-11,2.7714161201830362e-11,2.4080804340382807e-11,6.86727045649658e-11,3.760508288783155e-10,2.431014817795764e-11,1.7532891764011697e-11,2.9068429033072743e-11,3.540709296466133e-11,3.783109424405027e-11,3.338647035818318e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.878787457080989e-09,3.8222941780621425e-09,8.205782298564374e-09,4.76147645321305e-08,3.2000518622975847e-09,2.322215118498815e-09,5.151195698788215e-09,5.550807367408351e-09,5.77188476862759e-09,4.801719940654648e-09,1.0
1.9015964311130978e-11,1.231289464278746e-11,1.610784630312145e-11,8.162120689994875e-11,5.882385548161149e-12,3.810722445749278e-12,2.0396289912447727e-11,1.8955110093791134e-11,1.6822836435237095e-11,1.2695996321240494e-11,2.791762949849309e-11,2.3082231286661452e-11,5.2317260992163745e-11,4.194997823987304e-10,2.0182894073226647e-11,1.6336469619754976e-11,2.9219481228278095e-11,3.1991592013472406e-11,3.399990315738153e-11,3.193321001383513e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.835409520904078e-09,3.7002683923328815e-09,6.842382995321066e-09,5.413827716502448e-08,2.7406117390270966e-09,2.267170630307642e-09,5.093444591011124e-09,5.195196816482489e-09,5.331806555296083e-09,4.736381141045352e-09,1.0
1.6150700152763907e-11,1.1597293667532068e-11,1.3732515978102447e-11,1.1635593393481869e-11,4.879547043945022e-12,3.816690812244885e-12,1.744991892162182e-11,1.7784196157831946e-11,1.2645185426495005e-11,1.1410494438110232e-11,3.0487188875078714e-11,2.468258328860151e-11,5.4429377094919255e-11,5.853116636072839e-11,2.166079791232948e-11,1.9851040107370694e-11,3.1844519972171513e-11,3.242570089809841e-11,4.1110131968007484e-11,3.784445747329101e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7275149688639724e-09,3.764907618139572e-09,7.088620550389358e-09,7.351946571984034e-09,2.8761150026784657e-09,2.5725058026016354e-09,4.984476344246418e-09,5.139874415113653e-09,5.433149719648118e-09,5.115744914520115e-09,1.0
1.3471710973340317e-11,1.150337954454807e-11,1.2175064388701147e-11,9.75613018597571e-12,4.512712289067448e-12,3.3299684419255614e-12,1.458181317564236e-11,1.7736557344326714e-11,1.0551785115673565e-11,1.0578362011109724e-11,3.040925662428856e-11,2.7087843404031665e-11,6.300914941840249e-11,6.726295354975368e-11,2.3029599251484928e-11,2.1787615565255057e-11,3.203307754033532e-11,3.748971344905467e-11,3.623718837033764e-11,4.1080740665115525e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.470002503567757e-09,3.967822947527993e-09,7.838030030070384e-09,7.801552082503307e-09,3.018977949046654e-09,2.6684954450078465e-09,4.72933480616301e-09,5.546318234310786e-09,4.885496196143613e-09,5.196186287965934e-09,1.0
1.6318868473449245e-11,1.3152323173263853e-11,1.0994769093922417e-11,1.218649243291302e-11,3.8039162966265205e-12,3.744258565890999e-12,1.752771926760379e-11,2.0364129263234355e-11,1.2820741899893358e-11,1.2680020111150736e-11,3.0506385593222496e-11,2.4683054664944365e-11,7.21902985546787e-11,5.5121054735308506e-11,2.767288917274032e-11,1.652390324555929e-11,3.1898272186419134e-11,3.538052398878839e-11,3.99705604051658e-11,3.101609497851895e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.855878876904719e-09,3.924746176018374e-09,8.003272885560593e-09,7.0845463870239735e-09,3.161063172533319e-09,2.3149103531174708e-09,5.120248011518816e-09,5.628317249288133e-09,5.351997447715094e-09,4.678446507853705e-09,1.0
1.5787173582677124e-11,1.267671424202051e-11,1.168296377518285e-11,1.1670836246117287e-11,4.135946513538623e-12,3.9267791432131364e-12,1.693789848473665e-11,1.9566153018466987e-11,1.338588833814916e-11,1.2919192316140285e-11,2.8636867961467186e-11,2.810797408694207e-11,6.887116962632573e-11,4.976906879741579e-11,2.6534042566945525e-11,1.6414828261165954e-11,3.0068634526198435e-11,3.657203972779816e-11,4.0051685083469455e-11,3.2760931190402326e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.698442121947902e-09,4.228177064317617e-09,8.010331251941544e-09,6.59596724774999e-09,3.226331256061082e-09,2.340844062734863e-09,4.952871311639592e-09,5.755055045914481e-09,5.5493685593675365e-09,4.932032403068191e-09,1.0
1.675169564112544e-11,1.111938271732415e-11,1.3113984065844003e-11,1.0305802266789013e-11,4.533623180225413e-12,3.2258651598248695e-12,1.8093720853216295e-11,1.7582106568026788e-11,1.416067061400549e-11,1.0718717725331637e-11,3.285104294382114e-11,2.9102434719907118e-11,7.969158740674061e-11,5.260524127677897e-11,3.310313409242802e-11,1.967167287809783e-11,3.408698583098562e-11,3.862480011519266e-11,5.026117572191541e-11,3.72489791443499e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.104235713121191e-09,4.177146836091082e-09,9.074796507139096e-09,6.5384695748103605e-09,3.82260658502167e-09,2.5056935754262372e-09,5.363286575078501e-09,5.7427395887119396e-09,6.42620030300897e-09,4.937703952194256e-09,1.0
1.7784776397790885e-11,1.2363459004533499e-11,1.3290595581969154e-11,1.1447627585475798e-11,4.636917528512677e-12,3.6349056635423173e-12,1.9118323269049692e-11,1.920302500805406e-11,1.477219640702125e-11,1.1917406913805178e-11,3.5972637429733185e-11,2.8653912063592633e-11,8.175131934314225e-11,5.7384793454761574e-11,3.30291358288928e-11,2.1675995751659373e-11,3.748426788508244e-11,3.9057872585963235e-11,5.207343250563313e-11,3.8276160019473786e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.501754648730856e-09,4.124477543302603e-09,9.492671597220247e-09,7.403944383870096e-09,3.8817316087066435e-09,2.7886408407640866e-09,5.777676733691054e-09,5.716397703765249e-09,6.777200208868647e-09,5.204992581468451e-09,1.0
